file	scenario	theme	clientWidthDip	dpi	fixture
30-running-and-queued__dark__480dip__fr-FR__display2__96dpi.png	30-running-and-queued	dark	480	96	production-renderer-synthetic-presentation
30-running-and-queued__dark__760dip__fr-FR__display2__96dpi.png	30-running-and-queued	dark	760	96	production-renderer-synthetic-presentation
31-completed-group-expanded__dark__480dip__fr-FR__display2__96dpi.png	31-completed-group-expanded	dark	480	96	production-renderer-synthetic-presentation
32-completed-group-collapsed__dark__480dip__fr-FR__display2__96dpi.png	32-completed-group-collapsed	dark	480	96	production-renderer-synthetic-presentation
33-decision-file-exists__dark__480dip__fr-FR__display2__96dpi.png	33-decision-file-exists	dark	480	96	production-renderer-synthetic-presentation
33-decision-file-exists__dark__760dip__fr-FR__display2__96dpi.png	33-decision-file-exists	dark	760	96	production-renderer-synthetic-presentation
34-decision-read-only-file__dark__480dip__fr-FR__display2__96dpi.png	34-decision-read-only-file	dark	480	96	production-renderer-synthetic-presentation
35-decision-read-only-exists__dark__480dip__fr-FR__display2__96dpi.png	35-decision-read-only-exists	dark	480	96	production-renderer-synthetic-presentation
36-decision-type-mismatch__dark__480dip__fr-FR__display2__96dpi.png	36-decision-type-mismatch	dark	480	96	production-renderer-synthetic-presentation
37-decision-destination-link__dark__480dip__fr-FR__display2__96dpi.png	37-decision-destination-link	dark	480	96	production-renderer-synthetic-presentation
38-decision-name-not-representable__dark__480dip__fr-FR__display2__96dpi.png	38-decision-name-not-representable	dark	480	96	production-renderer-synthetic-presentation
39-decision-target-conflict__dark__480dip__fr-FR__display2__96dpi.png	39-decision-target-conflict	dark	480	96	production-renderer-synthetic-presentation
40-decision-sharing-violation__dark__480dip__fr-FR__display2__96dpi.png	40-decision-sharing-violation	dark	480	96	production-renderer-synthetic-presentation
41-decision-access-denied__dark__480dip__fr-FR__display2__96dpi.png	41-decision-access-denied	dark	480	96	production-renderer-synthetic-presentation
42-decision-disk-full__dark__480dip__fr-FR__display2__96dpi.png	42-decision-disk-full	dark	480	96	production-renderer-synthetic-presentation
43-decision-path-too-long__dark__480dip__fr-FR__display2__96dpi.png	43-decision-path-too-long	dark	480	96	production-renderer-synthetic-presentation
44-decision-recycle-failed__dark__480dip__fr-FR__display2__96dpi.png	44-decision-recycle-failed	dark	480	96	production-renderer-synthetic-presentation
45-decision-insufficient-space__dark__480dip__fr-FR__display2__96dpi.png	45-decision-insufficient-space	dark	480	96	production-renderer-synthetic-presentation
46-decision-space-unknown__dark__480dip__fr-FR__display2__96dpi.png	46-decision-space-unknown	dark	480	96	production-renderer-synthetic-presentation
47-decision-efs-plaintext__dark__480dip__fr-FR__display2__96dpi.png	47-decision-efs-plaintext	dark	480	96	production-renderer-synthetic-presentation
48-decision-sparse-inflation__dark__480dip__fr-FR__display2__96dpi.png	48-decision-sparse-inflation	dark	480	96	production-renderer-synthetic-presentation
49-decision-placeholder-hydration__dark__480dip__fr-FR__display2__96dpi.png	49-decision-placeholder-hydration	dark	480	96	production-renderer-synthetic-presentation
50-decision-metadata-loss__dark__480dip__fr-FR__display2__96dpi.png	50-decision-metadata-loss	dark	480	96	production-renderer-synthetic-presentation
51-decision-network-offline__dark__480dip__fr-FR__display2__96dpi.png	51-decision-network-offline	dark	480	96	production-renderer-synthetic-presentation
52-decision-unsupported-reparse__dark__480dip__fr-FR__display2__96dpi.png	52-decision-unsupported-reparse	dark	480	96	production-renderer-synthetic-presentation
53-decision-same-host-overlap__dark__480dip__fr-FR__display2__96dpi.png	53-decision-same-host-overlap	dark	480	96	production-renderer-synthetic-presentation
54-decision-same-host-live-output__dark__480dip__fr-FR__display2__96dpi.png	54-decision-same-host-live-output	dark	480	96	production-renderer-synthetic-presentation
55-decision-permanent-delete__dark__480dip__fr-FR__display2__96dpi.png	55-decision-permanent-delete	dark	480	96	production-renderer-synthetic-presentation
56-decision-unknown-error__dark__480dip__fr-FR__display2__96dpi.png	56-decision-unknown-error	dark	480	96	production-renderer-synthetic-presentation
57-decision-metadata-loading__dark__480dip__fr-FR__display2__96dpi.png	57-decision-metadata-loading	dark	480	96	production-renderer-synthetic-presentation
58-decision-replacement-withheld__dark__480dip__fr-FR__display2__96dpi.png	58-decision-replacement-withheld	dark	480	96	production-renderer-synthetic-presentation
59-decision-retry-failed__dark__480dip__fr-FR__display2__96dpi.png	59-decision-retry-failed	dark	480	96	production-renderer-synthetic-presentation
60-decision-apply-to-all-checked__dark__480dip__fr-FR__display2__96dpi.png	60-decision-apply-to-all-checked	dark	480	96	production-renderer-synthetic-presentation
61-compare-scanning__dark__480dip__fr-FR__display2__96dpi.png	61-compare-scanning	dark	480	96	production-renderer-synthetic-presentation
62-change-case-enumerating__dark__480dip__fr-FR__display2__96dpi.png	62-change-case-enumerating	dark	480	96	production-renderer-synthetic-presentation
63-change-attributes-applying__dark__480dip__fr-FR__display2__96dpi.png	63-change-attributes-applying	dark	480	96	production-renderer-synthetic-presentation
64-file-list-rendering__dark__480dip__fr-FR__display2__96dpi.png	64-file-list-rendering	dark	480	96	production-renderer-synthetic-presentation
65-verification-failed__dark__480dip__fr-FR__display2__96dpi.png	65-verification-failed	dark	480	96	production-renderer-synthetic-presentation
66-verification-unavailable__dark__480dip__fr-FR__display2__96dpi.png	66-verification-unavailable	dark	480	96	production-renderer-synthetic-presentation
67-verification-canceled__dark__480dip__fr-FR__display2__96dpi.png	67-verification-canceled	dark	480	96	production-renderer-synthetic-presentation
68-zero-byte-items__dark__480dip__fr-FR__display2__96dpi.png	68-zero-byte-items	dark	480	96	production-renderer-synthetic-presentation
69-all-items-skipped__dark__480dip__fr-FR__display2__96dpi.png	69-all-items-skipped	dark	480	96	production-renderer-synthetic-presentation
70-queue-paused__dark__480dip__fr-FR__display2__96dpi.png	70-queue-paused	dark	480	96	production-renderer-synthetic-presentation
71-waiting-for-other-task__dark__480dip__fr-FR__display2__96dpi.png	71-waiting-for-other-task	dark	480	96	production-renderer-synthetic-presentation
72-automatic-concurrency__dark__480dip__fr-FR__display2__96dpi.png	72-automatic-concurrency	dark	480	96	production-renderer-synthetic-presentation
